,index,Unnamed: 0,mig_ext_sex,mig_ext_age,mig_ext_motivo,mig_ext_motivo/1,mig_ext_motivo/2,mig_ext_motivo/3,mig_ext_motivo/4,mig_ext_motivo/5,mig_ext_motivo/6,mig_ext_motivo/7,mig_ext_motivo/8,mig_ext_motivo/9,mig_ext_motivo/10,mig_ext_motivo/11,mig_ext_motivo/12,mig_ext_motivo/13,mig_ext_motivo/14,mig_ext_motivo/15,mig_ext_motivo/16,mig_ext_motivo/99,mig_ext_acompany,mig_ext_acompany/1,mig_ext_acompany/2,mig_ext_acompany/3,mig_ext_acompany/4,mig_ext_acompany/5,mig_ext_acompany/6,mig_ext_acompany/7,mig_ext_acompany/8,mig_ext_acompany/9,mig_ext_acompany/99,mig_ext_medio,mig_ext_medio/1,mig_ext_medio/2,mig_ext_medio/3,mig_ext_medio/4,mig_ext_medio/5,mig_ext_medio/6,mig_ext_medio/7,mig_ext_medio/8,mig_ext_medio/9,mig_ext_medio/10,mig_ext_medio/11,mig_ext_medio/12,mig_ext_medio/99,mig_ext_cost_awareness,mig_ext_cost_currency,mig_ext_cost_total,mig_ext_attempts,mig_ext_cost_dist_awareness,mig_ext_cost_transportation,mig_ext_cost_subsistence,mig_ext_cost_intermediaries,mig_ext_cost_other,sum_gasto_viaje,note_mig_calculo,mig_ext_finance,mig_ext_finance/1,mig_ext_finance/2,mig_ext_finance/3,mig_ext_finance/4,mig_ext_finance/5,mig_ext_finance/6,mig_ext_finance/7,mig_ext_finance/8,mig_ext_finance/9,mig_ext_finance/10,mig_ext_finance/11,mig_ext_finance/99,mig_ext_violence,mig_ext_violence/1,mig_ext_violence/2,mig_ext_violence/3,mig_ext_violence/4,mig_ext_violence/5,mig_ext_violence/6,mig_ext_violence/7,mig_ext_violence/8,mig_ext_violence/9,mig_ext_violence/10,mig_ext_violence/11,mig_ext_violence/99,mig_ext_violence_who,mig_ext_violence_who/1,mig_ext_violence_who/2,mig_ext_violence_who/3,mig_ext_violence_who/4,mig_ext_violence_who/5,mig_ext_violence_who/6,mig_ext_violence_who/7,mig_ext_violence_who/99,mig_ext_country,mig_ext_country_other,mig_ext_llego,mig_ext_return,_index,_parent_table_name,rsp_id,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission__tags,country,mig_ext_finance_group/1,mig_ext_finance_group/2,mig_ext_finance_group/3,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,cost_per_attempt,migrated_yn,experienced_violence_sum,experienced_violence_yn,violence_strings
10,41,41,1,37,1 2 7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8 10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,0.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,1,,43,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,115,172973876,b0ee4d80-9685-4e60-8c06-44655d1c9109,2021-04-22T01:59:22,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,0,0,1,,1,1.0,True,['Theft']
11,54,54,2,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,99.0,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1,,5,,56,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,142,172995784,98811f87-0e82-4872-8e06-6fee3b4d1193,2021-04-22T05:45:05,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,0,0,1,0,,1,1.0,True,['Other']
12,64,64,2,39,1 3 4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,3 4 6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,6,1.0,66,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,209,173214428,07d3c22a-69b7-434a-8d93-2b7e1b0a75b8,2021-04-23T01:11:44,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,0,1,,1,3.0,True,"['Theft', 'Armed robbery', 'Physical aggression']"
13,67,67,2,18,1 9 8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,2860.0,1.0,99.0,,,,,,,6,0,0,0,0,0,1,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,1,,69,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,217,173214652,1319abfe-1517-4f96-a9d8-6cb0d2a2b825,2021-04-23T01:19:24,,[],submitted_via_web,,[],GT,0,1,0,0,0,1,2860.0,1,1.0,True,['Other']
14,75,75,2,17,1 2 7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,7800.0,1.0,0.0,,,,,,,4 10,0,0,0,1,0,0,0,0,0,1,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,,78,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,243,173215183,ea3863f2-65d0-4f32-aad0-3fe0f4b46aef,2021-04-23T01:30:45,,[],submitted_via_web,,[],GT,1,0,1,0,1,0,7800.0,1,1.0,True,['Theft']
15,76,76,2,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,1040.0,1.0,99.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,2,1.0,79,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,245,173215187,55abbf54-0d52-497d-9ad0-7ff53316590d,2021-04-23T01:30:47,,[],submitted_via_web,,[],GT,0,1,0,0,0,1,1040.0,1,1.0,True,['Other']
16,79,79,2,25,2 1 11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,10400.0,3.0,99.0,,,,,,,1 5,1,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,1,,83,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,250,173215221,78732ea5-3451-4a52-b8a7-7d160e701e79,2021-04-23T01:31:52,,[],submitted_via_web,wfpmandeteam,[],GT,1,1,0,0,1,0,3466.666666666666,1,1.0,True,['Armed robbery']
17,84,84,2,34,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 3,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,20800.0,2.0,1.0,60.0,20.0,15.0,5.0,100.0,,5,0,0,0,0,1,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,,87,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,258,173215396,520deda2-adb9-4241-a6a7-60fe41aa6504,2021-04-23T01:37:41,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,10400.0,1,1.0,True,['Kidnapping / Attempted kidnapping']
18,89,89,2,20,6 8 7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,2470.0,1.0,99.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,2,1.0,92,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,280,173215793,77ebcc8c-529a-4b8f-a3a8-5bb9d8a66256,2021-04-23T01:42:37,,[],submitted_via_web,,[],GT,1,0,0,0,1,0,2470.0,1,1.0,True,['Physical aggression']
19,95,95,2,31,99 1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,10400.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,1,,99,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,301,173220259,24914bef-2c2d-43b5-8f39-129ef334d3c4,2021-04-23T02:56:41,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,5200.0,1,1.0,True,['Theft']
20,96,96,1,33,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,99,,,,99.0,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,4,,101,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,302,173220260,ccb6e4ca-d3f7-4ccf-a5fa-d2af85cfd524,2021-04-23T02:56:42,,[],submitted_via_web,wfpmandeteam,[],GT,0,0,0,0,1,0,,1,1.0,True,['Other']
21,106,106,1,42,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,99,,,2.0,0.0,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2 4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,2,9.0,111,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,334,173338642,c29d1d59-4409-41e1-b2bf-7d19a01aa5cd,2021-04-23T15:50:47,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,0,0,1,1,,1,1.0,True,['Extortion / Attempted extortion']
22,109,109,1,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,8000.0,3.0,99.0,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,1,,114,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,342,173390226,2781910e-fa93-4cce-b1e4-027df4ea3c7d,2021-04-23T21:26:34,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,0,1,0,2666.6666666666665,1,1.0,True,['Armed robbery']
23,110,110,2,24,1 6 7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.0,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,2,1.0,115,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,346,173391188,42bf6cd5-a68f-4399-822e-d0b4f834a945,2021-04-23T21:34:42,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,1,0,0,1,,1,1.0,True,['Armed robbery']
24,131,131,1,19,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,7800.0,1.0,1.0,70.0,10.0,15.0,5.0,100.0,,99,0,0,0,0,0,0,0,0,0,0,0,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,1,,136,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,406,173405555,0d6e2da9-0a5f-46d9-8d7b-5e90f01c0412,2021-04-23T23:48:18,,[],submitted_via_web,wfpmandeteam,[],GT,0,0,0,0,1,0,7800.0,1,1.0,True,['Other']
25,132,132,2,32,1 7 14,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0.0,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,,1,,137,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,407,173405559,c75fc85c-2d68-4f35-8d46-d2758d6bfb92,2021-04-23T23:48:19,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,,1,1.0,True,['Extortion / Attempted extortion']
26,157,157,2,41,7 1 2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,4550.0,2.0,0.0,,,,,,,10,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,1,,162,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,454,173408947,ca5d3fad-290d-43c6-ad0c-2f978b72a30b,2021-04-24T00:38:42,,[],submitted_via_web,wfpmandeteam,[],GT,0,0,1,0,1,0,2275.0,1,1.0,True,['Threat / Intimidation']
27,158,158,2,21,1 7 2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2.0,0.0,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,2,1.0,163,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,456,173408954,39e968c6-29d4-4dd4-bfe5-daf1fed34674,2021-04-24T00:38:44,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,,1,1.0,True,['Other']
28,159,159,2,24,2 1 7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,99,,,3.0,0.0,,,,,,,10,0,0,0,0,0,0,0,0,0,1,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,99,,164,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,457,173408957,c8fa6784-42f4-48d7-9718-7024f3e2ab8e,2021-04-24T00:38:45,,[],submitted_via_web,wfpmandeteam,[],GT,0,0,1,0,1,0,,1,1.0,True,['Other']
